자치구,행정동,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,행정동_코드
은평구,응암1동,2561,0,230,449,629,616,637,11120590
성동구,행당1동,2506,0,293,540,661,711,301,11040560
은평구,갈현1동,2498,0,367,576,625,604,326,11120550
마포구,대흥동,2495,2,818,572,416,425,262,11140600
송파구,거여2동,2455,0,419,517,610,588,321,11240540
구로구,신도림동,2454,0,399,763,597,451,244,11170510
광진구,중곡4동,2420,0,410,591,635,582,202,11050580
은평구,불광1동,2399,0,300,553,641,560,345,11120520
관악구,신림동,2397,0,229,399,548,583,638,11210690
마포구,합정동,2334,0,385,678,631,425,215,11140680
강남구,도곡1동,2334,1,399,545,653,591,145,11230660
강동구,천호1동,2333,0,205,460,571,517,580,11250610
광진구,중곡1동,2319,1,624,446,470,556,222,11050550
은평구,불광2동,2308,0,60,319,383,517,1029,11120720
은평구,구산동,2296,0,292,443,552,675,334,11120570
동작구,사당1동,2275,0,349,571,622,418,315,11200630
서대문구,홍제1동,2241,0,218,333,574,758,358,11130620
양천구,신월1동,2220,0,145,385,531,783,376,11150570
강동구,둔촌2동,2213,0,419,588,488,461,257,11250710
구로구,고척1동,2188,0,185,445,583,663,312,11170610
은평구,역촌동,2083,0,331,422,557,492,281,11120740
동작구,노량진2동,2081,0,336,598,505,444,198,11200520
용산구,이촌2동,2035,0,291,557,605,443,139,11030640
강서구,염창동,2019,0,313,599,605,340,162,11160510
노원구,중계본동,2005,0,233,420,573,559,220,11110600
송파구,거여1동,1988,0,506,583,482,255,162,11240530
강북구,인수동,1986,0,106,327,487,611,455,11090750
광진구,화양동,1959,0,193,393,542,578,253,11050530
관악구,행운동,1954,0,284,499,479,437,255,11210570
중랑구,면목3?8동,1942,0,112,318,537,588,387,11070720
동대문구,전농1동,1930,0,277,501,448,442,262,11060830
용산구,후암동,1925,0,253,429,582,476,185,11030510
강서구,방화3동,1914,0,193,408,485,524,304,11160761
영등포구,신길6동,1896,0,170,444,502,454,326,11190680
강서구,화곡2동,1877,0,226,533,520,421,177,11160570
중구,청구동,1867,0,270,493,442,403,259,11020720
은평구,증산동,1867,0,230,511,523,437,166,11120670
종로구,창신1동,1826,0,47,303,631,516,329,11010670
강남구,일원1동,1822,0,221,342,428,401,430,11230730
은평구,대조동,1807,0,159,409,524,458,257,11120580
강동구,암사2동,1803,0,196,331,415,479,382,11250580
동대문구,답십리1동,1779,0,256,361,500,484,178,11060910
금천구,시흥3동,1759,0,127,257,405,461,509,11180590
양천구,목4동,1758,0,191,400,537,452,178,11150540
구로구,수궁동,1732,0,150,327,410,508,337,11170690
성동구,금호1가동,1732,5,205,574,709,199,40,11040590
관악구,인헌동,1707,0,353,515,445,258,136,11210620
강서구,발산1동,1685,0,79,240,462,569,335,11160670
