자치구,행정동,당월_매출_금액,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,행정동_코드
은평구,갈현2동,540510337.7291666,419232133.0833333,121278204.64583331,74562333.13541667,102303900.07291669,75782449.69791667,78463048.83333333,88120401.34375,81827741.1875,39450463.458333336,10052247.96875,114897775.63541669,120427471.61458331,127922088.5,133663773.30208331,33546980.70833333,2896578.6979166665,28340491.375,51325133.0,130260333.875,140440368.39583334,170374156.38541666,11120560
영등포구,양평2동,534826611.2068965,448852915.7758621,85973695.43103448,108563614.3448276,90949267.05172414,80685180.94827586,76916431.8275862,91738421.60344829,51939375.25862069,34034320.1724138,12008004.034482758,72445367.37931034,193960422.3448276,77205559.5862069,134891209.24137932,44316048.62068965,1431816.3448275863,35995732.98275862,89813891.22413793,97219720.81034485,98764559.1724138,76142124.3275862,11190620
중구,청구동,534247728.8181818,439637980.45454544,94609748.36363636,84746366.18181819,89014359.0909091,71163496.9090909,79033728.0909091,115680030.1818182,63888097.72727273,30721650.63636364,13083578.727272728,51218416.36363637,139563993.72727272,149415034.54545453,138728187.1818182,42238518.27272727,527269.4545454546,24158312.181818184,104266730.9090909,145311087.8181818,54684985.27272727,175097900.8181818,11020720
강동구,성내1동,533202239.9491525,393066422.4576271,140135817.4915254,67468662.15254237,89347034.52542374,74163917.33898304,75684754.18644068,86402054.2542373,84724320.23728813,55411497.25423729,4710494.288135593,30337150.66101695,161251903.69491526,145276752.93220338,156759946.15254238,34865992.220338985,1116687.93220339,31993964.40677966,76506234.15254237,108333111.7457627,118299693.0,127849823.27118644,11250650
중구,약수동,529553699.4761905,415121568.0952381,114432131.3809524,84769825.38095239,83435992.90476191,79208339.0,77930040.38095239,89777370.42857143,76963237.33333333,37468894.047619045,5213013.571428572,69356581.71428572,152419440.47619048,127610550.66666669,148018562.66666666,26935550.38095238,585590.0,29730009.76190476,74208659.28571428,84251949.23809524,119979288.52380952,194539193.2857143,11020710
금천구,시흥1동,528944097.6818182,396941844.00757575,132002253.67424242,81676623.68181819,84344105.02272727,69905058.28030303,76428643.02272727,84587414.0,86558265.57575758,45443988.09848485,11791603.840909092,63670498.67424242,130889722.1590909,140920473.7348485,144059310.72727272,37612488.54545455,1437886.6515151516,28219125.19696969,64556754.85606061,90426536.46969695,133292476.81060606,186810387.53030303,11180570
서초구,방배본동,521640628.6849315,376629086.60273975,145011542.0821918,77452033.9589041,75093371.1780822,64786661.84931507,76151358.38356164,83145661.23287672,89496645.46575342,55514896.61643836,8869207.91780822,45808481.28767123,130506565.73972602,129687955.71232876,164111225.26027396,42657192.76712329,2014939.7260273967,32232336.356164385,88406875.84931506,145989613.3561644,99180025.10958904,101020088.12328768,11220610
관악구,대학동,521037652.2857143,382772185.5535714,138265466.73214287,78999904.05357143,82335370.0,71438471.26785715,68639969.92857143,81358470.30357143,80198869.48214285,58066597.25,33345609.92857143,46878838.10714286,119846443.44642857,97817297.51785716,160761626.7857143,62387836.5,5181364.964285715,105696698.55357143,120780517.73214284,90244067.71428572,100680492.57142857,75079625.07142857,11210730
구로구,구로4동,518758969.9038461,378600383.1634616,140158586.7403846,79515490.11538461,79220956.86538461,70780429.0576923,71365526.1826923,77717980.9423077,78732618.99038461,61425967.75,8536258.51923077,74000342.67307693,144700951.80769232,145561756.59615386,121273266.35576925,24686393.95192308,1036112.1730769232,15610834.903846154,57671957.432692304,93043511.1826923,146090359.28846154,187013969.1538461,11170550
도봉구,방학3동,518356494.0,426580994.5,91775499.5,95702476.5,93494615.375,77112121.75,76656083.625,83615697.25,70141756.5,21633743.0,590279.875,105706735.625,182879445.125,144780037.0,79891732.125,4508264.25,1939838.375,12617227.125,62644166.125,98654488.5,102223701.75,229544730.5,11100570
용산구,이촌1동,517465187.85,390961038.0,126504149.85,79221523.45,81089773.65,71470039.8,66517084.4,92662616.7,83010853.7,43493296.15,22382957.55,40061698.4,104100962.6,108476075.05,172352460.95,70091033.3,1954957.6,17597881.6,59264982.2,124123940.4,117352647.0,133957009.35,11030630
동작구,흑석동,512132067.7419355,404189238.1612904,107942829.58064516,77732370.51612903,88059434.32258065,78330773.83870968,75031255.93548387,85035403.5483871,70151944.5483871,37790885.03225806,14620148.612903226,47035984.77419355,129240059.77419356,103074692.19354838,169639897.7419355,48521284.64516129,8381505.838709678,106970578.48387095,71046386.25806452,87132983.83870968,109365772.83870968,91389354.32258064,11200710
강서구,등촌3동,510450850.71929824,418461401.3859649,91989449.33333331,84628539.03508772,96532889.75438596,72125617.6491228,78385488.5263158,86788866.42105263,61199618.543859646,30789830.789473683,4515662.157894737,72732298.05263157,143768188.59649122,127826744.3508772,138229173.9122807,23378783.649122808,1816503.1754385964,30894045.1754386,92766724.19298244,135043015.12280703,101702256.42105263,124998972.54385965,11160540
광진구,광장동,509389435.10714287,359851719.5714286,149537715.5357143,67226699.82142857,81241423.75,70283511.28571428,72535816.89285715,68564267.82142857,77306838.92857143,72230876.60714285,4190354.5,26942107.285714287,159319942.75,141824798.7857143,151859787.85714287,25252443.92857143,3741397.1785714286,32735944.92857143,53453466.14285714,93229246.03571428,162082686.32142857,109703138.0,11050630
서대문구,연희동,508918093.9176471,366246119.32941175,142671974.5882353,60905193.22352941,86255255.94117647,67654952.27058823,75374875.71764706,76055842.1764706,81883882.78823529,60788091.8,11262446.564705882,35928558.70588236,142779637.42352942,122187052.68235296,159993569.2470588,36766829.294117644,1883591.2470588237,73579923.68235295,106638167.7764706,99234332.1764706,95964283.21176472,95272406.2235294,11130760
관악구,중앙동,504961241.1212121,385190144.27272725,119771096.84848484,81125299.78787878,79072548.54545455,71562304.45454545,69561515.03030303,83868476.45454545,77193551.0,42577545.84848485,33010134.63636364,47702322.45454545,92305341.72727272,98800065.75757577,159282076.6969697,73861299.84848484,1537811.9393939397,75735415.81818181,108117539.57575758,79713565.96969697,97324212.6060606,116178621.75757577,11210610
강서구,공항동,504062603.6119403,401209579.1791045,102853024.43283582,72804107.14925373,87386553.19402985,73734359.89552239,67593036.98507462,99691521.95522387,72669023.34328358,30184001.08955224,30185906.32835821,102036662.41791044,98496921.08955224,119403571.28358208,105951754.19402984,47987788.29850746,1360886.1641791044,50988291.44776119,64435776.014925376,87543529.70149253,75034342.31343284,150776948.3880597,11160690
용산구,이태원2동,501754482.483871,341461579.61290324,160292902.87096775,57583754.19354839,68029612.5483871,72986159.90322581,65225460.90322581,77636592.06451613,99285140.58064516,61007762.29032258,46853933.90322581,21643007.451612905,82999081.06451613,82770184.74193548,169423411.32258064,98064864.0,2893187.290322581,81142022.61290322,149676124.29032257,76920838.90322581,55066530.22580645,43045155.48387097,11030660
구로구,오류1동,501033326.5689655,377220640.8793104,123812685.68965515,78541785.81034483,83501750.96551724,68445237.27586207,65119452.39655172,81612414.43103448,79963663.86206897,43849021.82758621,20974498.86206897,60639175.12068965,115874455.2586207,113427376.70689656,138952043.8448276,51165776.77586207,3405907.7413793104,57362380.31034483,89518788.43103448,93548570.3275862,97282748.6551724,139865807.12068966,11170670
영등포구,대림2동,499274211.3076923,332760972.09615386,166513239.21153846,55260786.5,103102027.01923075,54165194.75,55666442.23076923,64566521.59615385,78359718.51923077,88153520.6923077,12671064.73076923,47355892.365384616,106555084.59615384,156217307.73076922,133288424.92307691,43186436.961538464,309612.4615384616,17845773.230769232,60981822.63461538,132342296.0,145428753.65384614,133451853.26923075,11190710
도봉구,방학2동,497621270.7457627,361705441.2542373,135915829.4915254,73142016.01694915,66695659.847457625,58855154.38983051,80130602.50847457,82882008.49152543,77126718.18644068,58789111.30508474,5868154.084745763,60689091.33898305,134275143.2881356,151533101.2881356,129670600.66101696,15585180.084745765,1470170.4237288137,15732686.220338983,31184527.711864408,92986924.6779661,142836505.94915253,204725660.91525424,11100560
강서구,화곡8동,496408660.0222222,374652641.5555556,121756018.46666668,79241364.2,80682161.64444445,65592796.97777778,69691282.73333333,79445036.0,83010563.24444444,38745455.222222224,10516839.955555556,58149688.04444444,113951439.15555556,127539086.1111111,151710118.1111111,34541488.64444444,1036656.6222222224,36711361.37777778,87674765.24444444,102600058.24444444,106503163.4,155206109.8888889,11160630
송파구,오금동,492605077.9569892,428356795.7634409,64248282.19354839,130141067.06451613,62656533.05376344,63987038.548387095,54343392.32258064,117228764.77419356,40252942.06451613,23995340.129032254,95067199.95698924,71161642.31182796,87856103.93548387,106287412.827957,106706418.34408602,25526300.580645163,775231.2365591398,22956808.967741936,37672269.80645161,108305037.6344086,82295875.5376344,200104303.0,11240600
영등포구,양평1동,489996854.3214286,392784438.0714286,97212416.25,82602715.89285715,83370122.89285715,75946421.60714285,73863430.03571428,77001747.64285715,61864422.75,35347993.5,9040124.285714284,70242476.25,141618015.67857143,99647117.85714284,131238065.35714284,38211054.89285714,801226.3571428572,40723270.21428572,96037343.78571428,123369227.75,97036535.07142857,78608396.07142857,11190610
강북구,미아동,486490923.0259741,372182255.4805195,114308667.54545456,80476669.42857143,85334023.19480519,57474425.45454545,71602390.24675325,77294747.15584415,77665862.42857143,36642805.11688312,16009004.623376625,59356464.2987013,121467848.7922078,107984359.32467532,135094905.7792208,46578340.20779221,2352979.4415584416,40881068.15584416,69698098.94805194,103814433.28571428,119560462.7922078,135329794.27272728,11090700
