"동별","산업대분류별","구분별","항목","단위","2023 년",
"교남동","합계","여성대표자","사업체현황(산업대분류별/동별)(2017년 이후)","","247",
"교남동","합계","남","사업체현황(산업대분류별/동별)(2017년 이후)","","2626",
"교남동","합계","여","사업체현황(산업대분류별/동별)(2017년 이후)","","4475",
"교남동","농업 임업 및 어업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"교남동","광업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"교남동","제조업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","10",
"교남동","전기 가스 증기 및 공기조절 공급업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","1",
"교남동","수도 하수 및 폐기물 처리 원료 재생업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"교남동","건설업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","20",
"교남동","도매 및 소매업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","135",
"교남동","운수 및 창고업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","36",
"교남동","숙박 및 음식점업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","97",
"교남동","정보통신업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","24",
"교남동","금융 및 보험업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","22",
"교남동","부동산업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","59",
"교남동","전문 과학 및 기술 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","25",
"교남동","사업시설 관리 사업 지원 및 임대 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","11",
"교남동","공공행정 국방 및 사회보장 행정","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","2",
"교남동","교육 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","38",
"교남동","보건업 및 사회복지 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","39",
"교남동","예술 스포츠 및 여가관련 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","13",
"교남동","협회 및 단체 수리 및 기타 개인 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","62",
"가회동","합계","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","984",
